Year,Month,Day ,Hour,Irridiance,Temp
2016,3,24,23,0,24.78
2016,3,25,0,0,24.15
2016,3,25,1,0,23.62
2016,3,25,2,0,23.07
2016,3,25,3,0,22.3
2016,3,25,4,0,21.41
2016,3,25,5,0,20.64
2016,3,25,6,50.95,21.8
2016,3,25,7,244.7,25.76
2016,3,25,8,460.2,29.44
2016,3,25,9,655.93,32.79
2016,3,25,10,848.26,34.63
2016,3,25,11,844.93,35.94
2016,3,25,12,836.4,36.68
2016,3,25,13,765.66,37.03
2016,3,25,14,662.29,36.94
2016,3,25,15,480.33,36.31
2016,3,25,16,269.33,35.06
2016,3,25,17,68.91,31.33
2016,3,25,18,0,29.19
2016,3,25,19,0,28.55
2016,3,25,20,0,28.23
2016,3,25,21,0,28.05
2016,3,25,22,0,27.84
2016,3,25,23,0,27.3
2016,3,26,0,0,27.28
2016,3,26,1,0,26.58
2016,3,26,2,0,25.46
2016,3,26,3,0,23.82
2016,3,26,4,0,22.65
2016,3,26,5,0,21.8
2016,3,26,6,40.64,22.04
2016,3,26,7,199.3,24.81
2016,3,26,8,381.03,27.8
2016,3,26,9,582.08,31.94
2016,3,26,10,664.93,34.85
2016,3,26,11,688.06,36.17
2016,3,26,12,694.38,36.58
2016,3,26,13,590.94,36.89
2016,3,26,14,524.22,36.8
2016,3,26,15,365.11,36.19
2016,3,26,16,188.73,34.8
2016,3,26,17,43.79,31.53
2016,3,26,18,0,29.51
2016,3,26,19,0,28.69
2016,3,26,20,0,28.01
2016,3,26,21,0,27.44
2016,3,26,22,0,26.91
2016,3,26,23,0,26.3
2016,3,27,0,0,25.61
2016,3,27,1,0,24.88
2016,3,27,2,0,24.27
2016,3,27,3,0,23.81
2016,3,27,4,0,23.35
2016,3,27,5,0,22.96
2016,3,27,6,35.98,23.98
2016,3,27,7,137.95,26.09
2016,3,27,8,269.36,28.69
2016,3,27,9,435.73,31.57
2016,3,27,10,521.08,33.59
2016,3,27,11,567.71,35.28
2016,3,27,12,555.12,36.15
2016,3,27,13,487.62,36.4
2016,3,27,14,385.72,36.26
2016,3,27,15,271.46,35.53
2016,3,27,16,143.62,34.17
2016,3,27,17,34.76,31.48
2016,3,27,18,0,29.26
2016,3,27,19,0,28.38
2016,3,27,20,0,27.62
2016,3,27,21,0,27.1
2016,3,27,22,0,26.58
2016,3,27,23,0,25.95
2016,3,28,0,0,25.4
2016,3,28,1,0,24.88
2016,3,28,2,0,24.49
2016,3,28,3,0,24.15
2016,3,28,4,0,23.77
2016,3,28,5,0,23.54
2016,3,28,6,26.09,23.83
2016,3,28,7,80.98,24.59
2016,3,28,8,138.95,25.62
2016,3,28,9,97.44,26.85
2016,3,28,10,104.38,28.07
2016,3,28,11,171.07,28.85
2016,3,28,12,215.76,29.46
2016,3,28,13,377.27,29.94
2016,3,28,14,273.92,30.03
2016,3,28,15,183.06,29.45
2016,3,28,16,78.5,28.22
2016,3,28,17,39.21,26.59
2016,3,28,18,0,25.08
2016,3,28,19,0,24.44
2016,3,28,20,0,23.91
2016,3,28,21,0,23.68
2016,3,28,22,0,23.54
2016,3,28,23,0,23.19
2016,3,29,0,0,22.71
2016,3,29,1,0,22.27
2016,3,29,2,0,21.91
2016,3,29,3,0,21.64
2016,3,29,4,0,21.37
2016,3,29,5,0,21.13
2016,3,29,6,41.72,22.18
2016,3,29,7,175.98,23.76
2016,3,29,8,331.77,25.67
2016,3,29,9,507.54,27.85
2016,3,29,10,629.2,29.79
2016,3,29,11,753.78,31.44
2016,3,29,12,663.7,32.61
2016,3,29,13,671.54,33.23
2016,3,29,14,530.06,33.37
2016,3,29,15,333.48,33
2016,3,29,16,213.55,32.17
2016,3,29,17,57.49,30.14
2016,3,29,18,0,28.1
2016,3,29,19,0,26.77
2016,3,29,20,0,26.04
2016,3,29,21,0,25.74
2016,3,29,22,0,25.35
2016,3,29,23,0,25.03
2016,3,30,0,0,24.72
2016,3,30,1,0,24.3
2016,3,30,2,0,23.89
2016,3,30,3,0,23.54
2016,3,30,4,0,23.05
2016,3,30,5,0,22.56
2016,3,30,6,49.93,23.37
2016,3,30,7,199.22,24.9
2016,3,30,8,364.7,26.99
2016,3,30,9,526.23,29.12
2016,3,30,10,650.76,30.94
2016,3,30,11,714.67,32.36
2016,3,30,12,764.82,32.98
2016,3,30,13,714.34,33.2
2016,3,30,14,578.36,33.11
2016,3,30,15,400.67,32.65
2016,3,30,16,234.72,31.78
2016,3,30,17,66.87,29.85
2016,3,30,18,0,27.9
2016,3,30,19,0,27.3
2016,3,30,20,0,26.73
2016,3,30,21,0,26.11
2016,3,30,22,0,25.43
2016,3,30,23,0,24.7
2016,3,31,0,0,24.19
2016,3,31,1,0,23.87
2016,3,31,2,0,23.56
2016,3,31,3,0,23.06
2016,3,31,4,0,22.58
2016,3,31,5,0,22.39
2016,3,31,6,43.84,22.9
2016,3,31,7,179.62,23.71
2016,3,31,8,335.97,24.76
2016,3,31,9,476.66,25.83
2016,3,31,10,625.52,26.61
2016,3,31,11,710.33,27.05
2016,3,31,12,678.05,27.36
2016,3,31,13,634.5,27.61
2016,3,31,14,567.01,27.76
2016,3,31,15,261.67,27.72
2016,3,31,16,171.73,26.98
2016,3,31,17,53.09,25.4
2016,3,31,18,0,23.86
2016,3,31,19,0,23.44
2016,3,31,20,0,23.11
2016,3,31,21,0,22.76
2016,3,31,22,0,22.59
2016,3,31,23,0,22.58
2016,4,1,0,0,22.63
2016,4,1,1,0,22.58
2016,4,1,2,0,22.44
2016,4,1,3,0,22.15
2016,4,1,4,0,21.69
2016,4,1,5,5.71,21.28
2016,4,1,6,25.29,21.22
2016,4,1,7,125.8,21.56
2016,4,1,8,274.79,22.37
2016,4,1,9,423.48,23.5
2016,4,1,10,565.55,24.76
2016,4,1,11,675.98,25.58
2016,4,1,12,653.73,26.02
2016,4,1,13,612.3,26.19
2016,4,1,14,533.95,26.13
2016,4,1,15,370.2,25.96
2016,4,1,16,195.4,25.56
2016,4,1,17,61.08,24.73
2016,4,1,18,0,23.71
2016,4,1,19,0,23.19
